"Date","League","Type","Deafening.Essence.of.Anger","Deafening.Essence.of.Anguish","Deafening.Essence.of.Contempt","Deafening.Essence.of.Doubt","Deafening.Essence.of.Dread","Deafening.Essence.of.Envy","Deafening.Essence.of.Fear","Deafening.Essence.of.Greed","Deafening.Essence.of.Hatred","Deafening.Essence.of.Loathing","Deafening.Essence.of.Misery","Deafening.Essence.of.Rage","Deafening.Essence.of.Scorn","Deafening.Essence.of.Sorrow","Deafening.Essence.of.Spite","Deafening.Essence.of.Suffering","Deafening.Essence.of.Torment","Deafening.Essence.of.Woe","Deafening.Essence.of.Wrath","Deafening.Essence.of.Zeal","Essence.of.Delirium","Essence.of.Horror","Essence.of.Hysteria","Essence.of.Insanity","Muttering.Essence.of.Anger","Muttering.Essence.of.Contempt","Muttering.Essence.of.Fear","Muttering.Essence.of.Greed","Muttering.Essence.of.Hatred","Muttering.Essence.of.Sorrow","Muttering.Essence.of.Torment","Muttering.Essence.of.Woe","Remnant.of.Corruption","Screaming.Essence.of.Anger","Screaming.Essence.of.Anguish","Screaming.Essence.of.Contempt","Screaming.Essence.of.Doubt","Screaming.Essence.of.Dread","Screaming.Essence.of.Envy","Screaming.Essence.of.Fear","Screaming.Essence.of.Greed","Screaming.Essence.of.Hatred","Screaming.Essence.of.Loathing","Screaming.Essence.of.Misery","Screaming.Essence.of.Rage","Screaming.Essence.of.Scorn","Screaming.Essence.of.Sorrow","Screaming.Essence.of.Spite","Screaming.Essence.of.Suffering","Screaming.Essence.of.Torment","Screaming.Essence.of.Woe","Screaming.Essence.of.Wrath","Screaming.Essence.of.Zeal","Shrieking.Essence.of.Anger","Shrieking.Essence.of.Anguish","Shrieking.Essence.of.Contempt","Shrieking.Essence.of.Doubt","Shrieking.Essence.of.Dread","Shrieking.Essence.of.Envy","Shrieking.Essence.of.Fear","Shrieking.Essence.of.Greed","Shrieking.Essence.of.Hatred","Shrieking.Essence.of.Loathing","Shrieking.Essence.of.Misery","Shrieking.Essence.of.Rage","Shrieking.Essence.of.Scorn","Shrieking.Essence.of.Sorrow","Shrieking.Essence.of.Spite","Shrieking.Essence.of.Suffering","Shrieking.Essence.of.Torment","Shrieking.Essence.of.Woe","Shrieking.Essence.of.Wrath","Shrieking.Essence.of.Zeal","Wailing.Essence.of.Anger","Wailing.Essence.of.Anguish","Wailing.Essence.of.Contempt","Wailing.Essence.of.Doubt","Wailing.Essence.of.Fear","Wailing.Essence.of.Greed","Wailing.Essence.of.Hatred","Wailing.Essence.of.Loathing","Wailing.Essence.of.Rage","Wailing.Essence.of.Sorrow","Wailing.Essence.of.Spite","Wailing.Essence.of.Suffering","Wailing.Essence.of.Torment","Wailing.Essence.of.Woe","Wailing.Essence.of.Wrath","Wailing.Essence.of.Zeal","Weeping.Essence.of.Anger","Weeping.Essence.of.Contempt","Weeping.Essence.of.Doubt","Weeping.Essence.of.Fear","Weeping.Essence.of.Greed","Weeping.Essence.of.Hatred","Weeping.Essence.of.Rage","Weeping.Essence.of.Sorrow","Weeping.Essence.of.Suffering","Weeping.Essence.of.Torment","Weeping.Essence.of.Woe","Weeping.Essence.of.Wrath","Whispering.Essence.of.Contempt","Whispering.Essence.of.Greed","Whispering.Essence.of.Hatred","Whispering.Essence.of.Woe","NA."
2018-02-07,"Standard","Essence",13.67885,1.78865,16.14346,1.99327,3,9.76365,4.22481,10.57423,2.19077,7.28288,2.68808,3.34885,7.56538,1.2225,6.14596,1,4,3.76308,9.80558,11.77154,59.81981,95.96808,40.48173,57.41154,0.67769,0.59038,0.98577,0.97692,1,0.57827,0.34615,0.76096,1.99308,0.98692,0.61385,1,1,1,1,0.88692,1,0.94308,1,1,1,1,0.99596,0.81423,0.95692,0.65442,0.93596,0.45865,1,6.99808,1.01154,4.13404,0.93827,1.32385,3.38808,2.25808,4,1.96423,2.99038,1.96942,2.00808,1.73654,1,3.32173,1,1.70827,1.22096,1.97058,3.03731,1,0.77904,1,1,0.44231,1,1,0.64712,1,0.64096,0.965,0.42288,0.54788,0.86962,0.51827,0.63115,1,1,1,0.99077,0.68288,1,0.70577,0.54981,0.34192,1,0.97481,0.64712,0.47654,0.61885,0.34192,0.37615,0
2018-02-08,"Standard","Essence",12.77923,1.50269,16.59154,1.84962,3,8.25096,4,10.04596,2.005,5.89788,2.52135,3.50288,9.30442,1.11654,6,1,3.89962,3.31712,10.04346,9.64673,60.59327,89.51981,40.61173,59.10731,0.81269,0.6,0.99115,0.98385,1,0.69,0.53423,0.81481,2,1,0.55423,1,1,1,1,0.70981,1,0.97173,1,1,1,1,0.9875,0.82462,1,0.82981,0.89038,0.42077,1,4.80288,1,4.37327,0.96404,2,2.76019,2,4.04269,2.3025,3,2,2.01827,1.88038,1,2.77327,1,1.68769,1.70404,2.44769,3.87519,1,0.83712,1,1,0.50904,1,0.89288,0.63654,1,0.71846,0.99423,0.47788,0.65673,0.89365,0.5775,0.66442,0.94577,1,1,1,0.75135,1,0.78942,0.61615,0.365,1,1,0.66423,0.48077,0.6225,0.34327,0.40173,0
2018-02-09,"Standard","Essence",12.79849,1.8134,18.8466,1.99472,3,8.44358,4.29151,10.64868,2.13321,7.35774,2.68887,4.01509,8.98434,1.33453,6.08736,1.07717,3.96547,3.78547,10.44736,10.64811,64.27057,93.04755,33.69906,59.73642,1,0.6,0.99,0.98189,1,0.86887,0.93962,0.83679,2.64566,1,0.49566,1.03811,1,1,1,0.70264,1,0.99755,1,1,1,1,0.75925,0.94057,0.91491,0.92189,0.97849,0.40472,1,5.9234,1,4.83868,1,2,2.99434,1.98302,4.36208,3.49302,3,2,2.58849,1.98491,1,2.93302,1,1.80472,2,3.1717,4.17698,1,0.99509,1,0.9017,0.77377,1,1,0.78,1,0.90642,1,0.58189,0.90019,0.9666,0.6317,0.7383,0.77472,1,1,1,0.80774,0.99604,0.89755,0.74434,0.43509,1.01736,1,0.72132,0.52226,0.68264,0.34453,0.44792,0
2018-02-10,"Standard","Essence",11.70302,2,18.23943,1.99245,2.99774,7.60547,4.97981,10.09075,2.87925,8.25906,2.19415,4.17736,9.89434,1.73717,6.00264,1.28377,3.97981,4,9.51717,10.80434,64.63849,92.18208,34.43642,56.24396,0.99792,0.47226,0.98736,0.6217,0.99283,0.65698,0.94208,0.8266,2.26472,1.0234,0.50887,1.02509,1,1,0.99453,0.62755,1,0.97321,1,1,1,1,0.82415,1,0.91943,0.98811,0.9917,0.34962,1,5.17849,1,4.92434,1,2,3.23189,2.34321,4.54226,3.57679,3,2,2.74755,1.74491,1,2.90623,0.99019,1.7834,1.74,3.22566,4.07774,1,0.90811,0.97679,0.72226,0.92019,1,0.99962,0.86717,1,0.79491,1,0.63943,0.99509,0.93245,0.59566,0.59226,0.55642,0.66717,0.89226,0.63453,0.64623,0.66415,0.92472,0.61208,0.50094,1.51849,0.59943,0.70962,0.40925,0.53566,0.35038,0.43038,0
2018-02-11,"Standard","Essence",11.91927,2,17.03145,2,3,10.476,5,10.20964,2.87655,7.96618,4.05982,4.29127,9.67673,1.96255,6,1.02582,3.95036,4.06927,8.86218,11.21782,66.78,90.86891,42.47345,50,0.97927,0.35,0.76964,0.35,0.81145,0.472,0.958,0.98636,2.97055,1.32564,0.58545,1,1,1,1,0.6,1,1,1,1,1,1,0.62745,1,0.87255,1,0.99673,0.41818,1,5.71473,1,4.70182,1,2,3.07909,2.17727,4.34636,2.65909,3,1.95964,2.87964,1.80909,1,2.814,0.99,1.94527,1.66527,3.02745,3.90418,0.88236,1,0.98636,0.83564,0.83364,1,1,1,0.99491,1,1,0.57982,0.77145,0.78364,0.59382,0.52091,0.59491,0.36382,0.93473,0.51745,0.65618,0.68545,0.68,0.50455,0.508,1,0.34855,0.75364,0.35855,0.47291,0.41636,0.39964,0
2018-02-12,"Standard","Essence",11.96736,2,17.98943,2,3.03283,11.52377,4.99453,10.36453,2.89491,7.3866,5.07906,4.94113,10.07717,2,6,1.23321,3.98302,4.26094,8.68698,11.34962,69.23283,89.48736,42.83811,50,0.99377,0.37585,0.50434,0.35226,0.47472,0.57962,1,0.99943,2.84906,3.20321,0.80075,1,0.75849,1,0.7334,0.68189,1,1,1,1,1,1,0.5017,0.96094,0.80377,0.91189,1,0.54849,1,4.98019,1,4.36226,1,2.0034,3.00698,2.0966,4.65717,2.88019,3,1.94453,3.22585,1.64491,1,2.73038,0.99396,2,1.9966,3.25868,3.94736,0.76057,1,0.90962,0.77925,0.61245,0.95245,0.94717,1,0.63132,1,0.55377,0.58981,0.52811,0.63075,0.45472,0.60075,0.53887,0.38509,0.87283,0.69849,0.48981,0.54566,0.50019,0.50962,0.48566,0.71396,0.35,0.98887,0.45113,0.53943,0.62245,0.55509,0
2018-02-13,"Standard","Essence",10.87208,2,17.82962,2,3.59038,11.21925,4.82585,11.30038,3,8.31604,5.20623,5.45528,10.0066,2,6.58302,1.49736,4,4.20528,9.89774,10.88604,67.56038,89.82623,44.25075,50.27302,1,0.39792,0.51792,0.3983,0.35849,0.50057,1,0.7066,2.86717,1.74736,0.65132,1,0.84717,0.89057,0.85245,0.81755,1,1,1,0.97792,1,1,0.60849,0.98943,0.57811,1,0.97245,0.87849,1,4.4683,1,6.71623,1,2.27321,3.32208,2.32962,5,2.29302,3.05453,2,3.70415,3.61302,1,2.70057,1,2,2,4.01717,4.12094,0.54774,0.7917,0.52019,0.54208,0.63943,0.73453,0.84264,0.70302,0.52226,0.82679,0.47396,0.69094,0.57887,0.45038,0.42943,0.62925,0.7017,0.36358,0.7966,0.56,0.51453,0.42981,0.42906,0.48566,0.37642,0.44208,0.35,0.72038,0.46075,0.59642,0.46491,0.66075,0
2018-02-14,"Standard","Essence",10.73151,2,17.19208,2,3.97,11.1866,4.72868,10.22189,3.02208,6.26283,6.3017,5.19189,10.15075,2,8.89019,1.03038,4,4.99925,8.01528,10.90755,66.78491,92.26811,34.99075,59.67377,1,0.35189,0.45547,0.34434,0.21472,0.11,1,0.29113,2.92491,0.97283,0.63811,1.05094,0.97057,0.99491,0.99453,0.78396,1.10698,1,1,0.91453,1,1,0.54717,0.93736,0.3917,0.97585,0.9783,0.93377,1,4.7366,1,5.94208,1,2.1234,3.30377,3.07887,4.67736,2.27585,3.00491,2,4.9883,5.04358,1.29377,3.52038,1,2.05453,2,4,4.27679,0.36698,0.56189,0.49623,0.3434,0.34642,0.43151,0.73547,0.42811,0.35585,0.91358,0.4934,0.37943,0.3434,0.3434,0.3434,0.45509,0.3434,0.3434,0.73415,0.3434,0.3434,0.3434,0.34396,0.38189,0.3434,0.36774,0.3434,0.34585,0.34,0.42264,0.41849,0.38566,0
2018-02-15,"Standard","Essence",10.53075,2,17.73943,2,3.29509,10.74509,4.53547,10.92962,3.16245,6.27679,6.37962,5.51604,10.28057,2,7.26698,1,4,4.9166,7.93094,11.16981,68.78377,99.98151,39.75415,71.8883,0.98245,0.34925,0.3834,0.34038,0.15283,0.11,0.98245,0.27679,2.87019,0.58151,0.49774,1,0.74189,0.97434,1,0.59472,1.18321,1,1,0.44075,1,1,0.48585,0.4817,0.34038,0.68566,0.83321,0.62943,1,7.46113,1,5.61528,1.01321,2.57094,3.1383,3.59943,4.30925,2.22283,2.99717,1.77528,4.99604,5.59547,2.12509,4,1,2.1,2,4,4.17038,0.36113,0.49604,0.42774,0.34038,0.38962,0.36453,0.50849,0.37151,0.38019,1,0.47264,0.34038,0.34038,0.34038,0.34038,0.44283,0.46358,0.34038,0.51604,0.34038,0.34038,0.34038,0.34038,0.34189,0.34038,0.36717,0.34038,0.34264,0.26623,0.38943,0.39698,0.31434,0
2018-02-16,"Standard","Essence",10.18736,2,17.04925,2,3.14264,11.05736,4.15132,10.14321,3,6.1534,6.64774,4.96491,11.80925,2,7.64358,1,4.01094,4.72302,8.00509,11.61528,69.64472,99.27358,48.22509,70.53415,0.79717,0.34566,0.38566,0.34,0.12849,0.11,0.63943,0.27925,2.70189,0.97472,0.6734,1,0.9934,1,1,0.98264,0.95415,1,0.80094,0.53075,0.69,1,0.55453,0.45434,0.34,0.75226,0.90585,0.99623,1,5.79377,1.64717,6.01321,1.06415,2.58377,2.93623,2.7383,4.11755,1.89038,2.39698,1.00528,4.96094,5.04264,2.01321,4,1,2.36453,2,4,4.00453,0.36057,0.46906,0.39057,0.34,0.54377,0.34132,0.68264,0.36717,0.39113,0.95585,0.48981,0.35113,0.34,0.34,0.34,0.53302,0.33774,0.34,0.74377,0.33906,0.34,0.34151,0.34189,0.33962,0.33906,0.45585,0.34,0.34,0.21755,0.37623,0.46019,0.29491,0
2018-02-17,"Standard","Essence",10.60113,2,16.76547,2.04321,3.76226,10.96868,4.5783,11.14717,2.95472,6.08302,8.12075,4.87283,14.87736,2,8.13019,1.00321,4.60226,4.88642,8.31585,13.85509,64.64566,99.18208,47.53774,62.3534,0.75717,0.34642,0.39321,0.41642,0.20509,0.17547,0.26283,0.28113,2.03642,0.9983,0.43358,1,0.9983,1,1,0.99717,1,1,0.41792,0.87679,0.50755,1,0.58057,0.51528,0.34472,0.60113,0.79358,1,1,5.25962,1,8.16302,1.66717,2,3.10925,2.98472,4.16132,1.43943,1.25491,1,5,6.41472,2.06491,4,1,3.44132,2.02075,4,3.10151,0.34472,0.34472,0.35358,0.34472,0.39415,0.34472,0.63132,0.34472,0.34472,0.44736,0.41509,0.34472,0.34472,0.34472,0.34472,0.34547,0.26189,0.35698,0.64547,0.29113,0.34472,0.30755,0.34472,0.31358,0.29736,0.46698,0.34472,0.35151,0.3666,0.43415,0.46925,0.32849,0
2018-02-18,"Standard","Essence",10.21692,2,16.98,1.93904,4,11.02769,5,11.42212,2.90442,6.18942,8.94154,3.46038,16.74019,1.84596,8.04635,1,4.92385,4.91712,8.59269,12.80231,59.93,96.00077,44.74115,76.95885,0.73288,0.34808,0.71346,0.42038,0.35462,0.31981,0.26865,0.26885,2.15654,1,0.34615,1.00481,1,0.99981,1,0.98865,1,1,0.88808,0.79346,0.35788,1,0.92519,0.56135,0.3825,0.8375,0.87481,1,1,5.24712,1.20019,8.29923,2.54231,1.82692,3.61423,2.98404,4.57731,1,2.9025,1,5.2375,6.66058,2.11308,4,1,3.65385,2.15346,4,3.66635,0.35731,0.34615,0.43827,0.34615,0.59654,0.34615,0.70154,0.34615,0.34615,0.66404,0.34615,0.34615,0.34615,0.34615,0.34615,0.34615,0.28269,0.36942,0.34615,0.30442,0.34615,0.34615,0.34615,0.33423,0.27577,0.56154,0.34615,0.31288,0.68096,0.61096,0.45577,0.43673,0
2018-02-19,"Standard","Essence",10.19547,2,17.14547,1.5266,4.03396,9.93094,4.58,7.55868,3.01434,5.54075,8.11868,2.84358,16.48019,1.67415,7.40943,1,4.38679,4.97283,7.48962,12.13377,61.35906,91.51566,39.15472,70.05094,0.4783,0.34,0.84132,0.42453,0.37302,0.32623,0.26623,0.31774,2.78943,1,0.52132,0.88679,0.99736,1,1,0.99774,1,0.99358,0.93321,0.92113,0.80792,1,0.98925,0.62811,0.53509,0.9717,0.83585,1,1,5.02981,1.42642,6.81226,1.32943,2.04943,2.46226,3.59623,4.99887,1.87623,1.44547,0.97849,5.88,5.38094,2.13208,4,1,2.71925,2.47604,3.94113,4.99792,0.42679,0.47113,0.65642,0.34,0.37792,0.35849,0.89491,0.34302,0.36208,0.68321,0.34,0.42094,0.34623,0.62811,0.39906,0.34,0.3066,0.39774,0.34075,0.30453,0.38962,0.41358,0.28283,0.34,0.30774,0.82094,0.40755,0.34566,0.47472,0.49075,0.63547,0.37019,0
2018-02-20,"Standard","Essence",10.66585,2,17.69585,1.14094,4.31396,7.86415,4.58415,6.80321,3.16208,4.54038,7.43302,1.4383,13.83283,1.63698,6.93679,0.99094,4.64604,5,7.05,12.88698,59.16075,88.58,32.28981,65.83226,0.47981,0.39,0.55491,0.49151,0.58245,0.4734,0.3034,0.41547,3,1,0.66453,1,1,1,1,0.99151,1,0.99755,1,1,0.89208,1,0.76623,0.52811,0.4534,0.98849,1,1,0.97472,5,1.49434,5.25642,0.97774,2,2.22811,4,4.90509,2.81585,1.54434,0.98,5.57736,5.54962,2.20849,3.95245,1,1.69566,2.45415,4,5,0.53358,0.78604,0.96642,0.38585,0.39358,0.4383,1,0.48,0.57547,0.53698,0.34245,0.67434,0.44623,0.97585,0.53679,0.38415,0.34245,0.43019,0.47057,0.48774,0.41925,0.60151,0.20755,0.46302,0.51755,0.98717,0.77925,0.64208,0.46943,0.44547,0.63698,0.26679,0
2018-02-21,"Standard","Essence",11.21377,2,17.19283,1.57075,6.04472,9.81642,5.26057,9.62623,2.71906,4.71245,7,3.48868,16.7534,2,7.12528,0.99811,4.97434,4.99264,8.2,14.45358,62.47019,92.15094,33.2734,61.85132,0.49057,0.49491,0.7683,0.49491,0.79377,0.94019,0.38151,0.52132,2.82396,1.15075,0.90472,1,1,1,1,0.99604,1,0.99604,1,1,0.64151,1,0.9366,0.63226,0.7134,0.99868,1,1,1,5,1,5.15075,1,2.20283,2.17208,4.50075,5,1.68868,1.98472,0.98415,4.48245,5.04792,1.76962,3.4734,1,1.63698,1.79623,3.97623,5,0.78094,0.99849,1,0.87283,0.48679,0.60283,1,0.64509,0.78981,0.51698,0.34962,0.89189,0.64358,1,0.72434,0.55019,0.34962,0.5983,0.85509,0.98849,0.76623,0.90868,0.39094,0.78434,0.78283,1,1,1,0.49491,0.5317,0.99623,0.61113,0
2018-02-22,"Standard","Essence",11.34981,2,17.04113,2,7.23358,9.98,7.40132,11.26849,2.53283,6.72642,6.83585,5.21868,15.13396,2,7.83792,1,5,5,9.70434,14.25868,72.13981,94.31472,37.07472,56.79717,0.41849,0.49,0.84094,0.49,0.60113,1,0.47547,0.48038,2.47679,1.81189,0.88868,1,1,1,1,1,1,1,1,1,0.80868,1,0.99868,0.99283,1,1,1,1,1,5.01057,1,5.44547,1,3,2.97491,4.84,5,1.5166,2.24642,1.30038,7.08623,5,1.79792,2.85019,1.00283,2.18717,2,4,5,0.97811,1,1,1,0.44774,0.97547,1,0.94453,0.7683,0.35302,0.34585,0.99,0.98038,1,0.96698,0.77132,0.34623,0.6683,0.94906,0.98057,0.98057,1,0.3466,0.62755,0.84547,0.99057,1,1,0.49,0.49604,0.86642,0.49226,0
2018-02-23,"Standard","Essence",13.68717,2,17.04792,2,6.18887,10.78491,6.77377,12.68925,2.99396,7.05792,5.92585,7.40491,16.25208,2.17396,7.78038,1,5,5,11.09245,14.30415,64.09151,98.32849,31.09755,61.8134,0.49717,0.55698,0.68434,0.49132,0.54906,1,2.4666,0.48038,2.53057,1.42226,0.67642,1,1,1,1,1,1,1,1,1,1,1,0.99226,1,1,1,1,1.00113,1,5.67623,1.16113,5.63302,1,3,2.97906,4.51453,5,1.38736,2.89113,2.76698,4,5,1.93547,2,1.02189,2.12189,2,4,5,0.98283,1,1,1.00038,0.58453,0.98377,1,1,0.39585,0.34943,0.34132,0.99245,0.97774,1,0.99208,0.75604,0.4734,0.73245,0.91811,0.96208,0.94358,0.99151,0.37962,0.35811,0.53075,0.98962,1,1,0.52453,0.49132,0.81774,0.11491,0
2018-02-24,"Standard","Essence",10.85849,2,17.64151,2,7.60509,11.19736,6.98019,13.8766,2.91509,7.22472,6.00132,5.97698,17.84566,2.92057,8,1,5.1834,5.44717,10.89943,14.99642,60,92.65151,39.65358,51.55302,0.5083,0.74981,0.41358,0.45679,0.69321,1,0.79094,0.70151,1.87698,1.27113,0.98283,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.09075,1.21208,5.52623,0.9983,2.97811,2.79509,1.97075,3.07189,1.49566,2.3134,2.86245,3.07057,4.35962,1.29962,1.87887,1.01566,1.36226,1.91,3.25906,4.54245,0.92264,1,1,1,0.52623,0.98491,1,1,0.86547,0.64358,0.38585,1,1,1,1,1,0.77283,0.68698,0.90208,1,0.83491,1,0.54453,0.54057,0.74717,0.96264,0.98585,1,0.67377,0.4934,0.57792,0.15906,0
2018-02-25,"Standard","Essence",8.51321,2,18.30868,1.62472,5.52113,10.62453,5.15736,11.44113,2.91642,5.90623,6.0117,6.25566,17.56264,2.24151,8,1,4.73623,4.73434,10.01925,14.70585,58.15151,90.4783,40.21472,59.2066,0.34264,0.4817,0.35906,0.40717,0.5566,0.9783,0.81283,0.66038,1.36509,1.24302,1,1,1,1,0.9983,1,0.99906,1,1,1,1,1,0.95943,1,1,1,1,1,1,5.00642,0.8917,4.93509,0.94698,2.86528,1.79226,1.86962,4.70585,1.49132,1.7166,1.89358,4.26528,1.88208,1,1.83189,1.00717,1.07208,1.2883,3.01321,4.00547,0.8983,1,1,1,0.90075,0.92,1,1,0.96075,0.34811,0.77736,0.99736,0.99019,1,0.99981,1,0.97774,0.93528,0.90491,0.94736,0.74623,1,0.74472,0.79528,0.96717,1,0.65189,1,0.4817,0.4817,0.4817,0.42642,0
2018-02-26,"Standard","Essence",9.63889,2,17,1.31074,11.07315,10.66204,8.87204,10,3.02926,7.58537,6.025,6.90685,22.43333,2,8,1,4.53537,4.54148,11.36667,15.00278,55.25722,98.76426,40.31019,54.75426,0.46333,0.55944,0.34074,0.46185,0.70556,0.94352,0.89963,0.75463,1.17537,1.00685,0.97963,1,0.99907,0.96833,0.98407,0.99852,1,1,1,0.95963,1,1,0.93074,1,0.9763,1,1,1,1,4.52074,0.90148,4.93611,0.89148,2.91685,1.6887,1.91815,5.93296,1.38278,2.02574,1.3187,4.92667,2.29148,1,1.86148,1,1,1.03,3.22074,3.90185,0.63833,0.98426,0.90574,0.96389,0.84778,0.44574,0.96556,0.97481,0.55019,0.34074,0.87574,0.965,0.68796,0.97963,0.73352,0.99963,0.94685,0.89796,0.60074,0.93481,0.86574,0.99056,0.95241,0.79537,0.96278,0.97037,0.72259,0.97185,0.56963,0.59796,0.55389,0.55833,0
2018-02-27,"Standard","Essence",13.08593,2,15.26037,2.21981,7.21593,10.75204,5.23333,10.08093,4.15852,6.49778,5.62278,5.82648,20.15148,2.03056,8.02704,1.75463,4.85037,4.01852,10.26611,14.03815,51.84074,99.63685,42.3813,55.74704,0.33685,0.33259,0.32407,0.38241,0.36944,0.53185,0.35704,0.3263,2.16889,1.19444,0.77574,1,0.80148,0.57278,1,0.97593,1.235,0.90981,1,0.40537,1,1,0.65056,1,0.71278,0.99685,0.92556,1,1.0087,2.88815,0.99148,5.40593,1.00556,2.94463,2.38019,2.74944,5.25685,1.4763,2.8963,2.00111,3.80833,4.80556,1,2.13444,1,1.57426,1.92593,3.90722,3.44352,0.72648,0.4063,0.94796,0.32889,0.50963,0.42315,0.36222,0.39667,0.32852,0.36611,0.44741,0.50796,0.33667,0.41,0.40741,0.80944,0.80185,0.43278,0.37759,0.40796,0.49352,0.52204,0.68074,0.3763,0.55481,0.58963,0.38111,0.49778,0.385,0.6263,0.57204,0.42556,0
2018-02-28,"Standard","Essence",12.11889,2,14.37574,2,7.21852,10.01333,5.08204,11.34685,3.79019,5.06481,5.58333,5.30278,17.86907,2.00481,7.03296,2.01222,4.83593,3.99926,9.94296,14.30352,51.30352,117.01426,45.68667,66.8037,0.31333,0.31315,0.30407,0.43537,0.34852,0.33963,0.48278,0.31685,1.85019,1.12037,0.53352,1.12574,0.81019,0.81852,1,1,1.92889,1,1,0.56241,1,1,0.8663,1,0.56019,0.96537,0.99926,0.99574,1.015,4.86333,1,4.87889,1.00222,2.97407,3.055,2.84759,5,2.00704,3.03148,1.98593,3.07296,4.99889,1,2.70852,1,2.36889,2.87833,4,4.6213,0.91685,0.49796,0.98148,0.43481,0.67852,0.53796,0.33963,0.54019,0.46759,0.72537,0.32444,0.45444,0.38019,0.4837,0.52815,0.91074,0.96815,0.31222,0.31481,0.31593,0.57296,0.34685,0.40167,0.53593,0.51296,0.78333,0.51074,0.85556,0.31222,0.45259,0.485,0.44241,0
2018-03-01,"Standard","Essence",11.86444,1.65278,13.09759,2,5.22556,10.30519,3.8237,11.81444,2.37278,4.98222,5,4.68667,14.00833,2,5.06722,2,4.47185,4.20019,9.50667,12.19815,53.46389,141.0263,42.83148,72.18463,0.30907,0.30907,0.30907,0.39389,0.31056,0.30926,0.31556,0.30944,1.86204,1.14574,0.42333,1.00778,0.77463,0.53907,1,1,1.87426,1,1,0.6163,1,1,0.97111,1,0.34444,0.99944,0.95963,1,1,4.99315,1,4.70667,1.00741,2.92667,3,2.87389,4.97759,1.81259,3,2,3.05556,5,1,2.95,1,1.92093,3,3.99852,4.15963,0.97352,0.39389,1,0.43148,0.71926,0.56296,0.40278,0.50537,0.51,0.52852,0.52296,0.37074,0.3687,0.51259,0.53778,0.97833,0.81537,0.31593,0.34463,0.30907,0.47556,0.32111,0.31352,0.51148,0.48519,0.56407,0.44148,0.51704,0.30907,0.49537,0.37,0.42852,0
2018-03-02,"Standard","Essence",12,1.21564,12.51164,2,5,10.78691,4.03145,12.08836,2.02255,8.294,5,4.58836,13.20727,2,5,2,4.16073,4.48091,9.69364,12.92764,53.76764,137.09873,44.35909,76.09055,0.30782,0.30782,0.30782,0.36418,0.32564,0.30782,0.30782,0.31145,2,1.22382,0.48982,1.01073,0.97818,0.88127,1,0.92582,1.79709,0.87182,1,0.84164,1,1,0.96182,1,0.36491,0.75945,0.73455,1,1.10564,4.99582,1,5.19545,1.04855,3,3,3,4.61291,1.842,3,2,3.06109,4.95873,1,2.76655,1,1.90291,3,4,4.00255,0.98891,0.48327,1,0.616,0.69218,0.75764,0.31655,0.34327,0.50782,0.64782,0.96345,0.36545,0.51745,0.39855,0.77509,0.90945,0.88945,0.48145,0.35055,0.32145,0.43818,0.33091,0.30782,0.51345,0.47327,0.59964,0.44236,0.57036,0.33236,0.43982,0.318,0.51927,0
2018-03-03,"Standard","Essence",11.97889,1.78741,11.87907,2,5,10.05611,3.47093,10.8763,2.345,7.90667,5,3.80074,13.41333,2,5,2,2.37037,4.61519,9.06056,12.34815,52.22667,114.39667,38.59574,77.73259,0.31,0.31,0.31,0.31,0.32074,0.31,0.31,0.31,1.52241,1.05111,0.35463,1,0.735,0.94907,1,0.86815,1.3187,0.64926,1,0.67889,1,1,0.90537,1,0.31,0.58352,0.54722,1,1,4.50981,1,5.09333,1,2.62259,3,3,3.78926,1.29222,3,2,3,4.46037,1,2.05981,1,1.30185,3,3.43944,3.6337,0.9963,0.51481,1,0.51574,0.51204,0.8663,0.38685,0.31,0.51111,0.50111,0.96722,0.41704,0.475,0.415,0.70722,0.77222,0.87556,0.46852,0.32167,0.35778,0.31741,0.4187,0.31,0.46537,0.38148,0.49389,0.31,0.57444,0.31,0.31,0.31,0.48648,0
2018-03-04,"Standard","Essence",11.84,1.55333,11.87463,2,5,10,3,10.00778,2.07815,8.08296,5,3.93648,14,1.64296,5,2,2,4.64148,9.08,11.19481,50,109.39667,40,77.21056,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,1.56222,1,0.62056,1,0.80852,1,1,0.95426,1,0.56685,1,0.99815,1,1,0.74315,1,0.31,0.78204,0.56,1,1,3.12111,1,4.4637,1,1.96907,3,3,3.49389,1,2.65685,2,3,4.01222,1,1.31833,1,1,2.88296,2.35037,3.12204,0.93648,0.52889,0.98037,0.36778,0.5137,0.56333,0.4763,0.31,0.47889,0.40815,0.95944,0.31,0.31,0.58722,0.9763,0.62,0.77148,0.31,0.44852,0.31,0.42463,0.54074,0.31,0.31,0.31,0.31,0.31,0.51648,0.31,0.31,0.31,0.41148,0
